IBM,552
MICROSOFT CORP,520
GOOGLE INC,501
INTUITIVE SURGICAL OPERATIONS,481
NUANCE COMMUNICATIONS INC,313
QUALCOMM INC,272
STATE GRID CORP CHINA,231
SAMSUNG ELECTRONICS CO LTD,197
GM GLOBAL TECH OPERATIONS INC,172
ZONGCHENG LI,160
BOEING CO,153
AT & T IP I LP,136
INTEL CORP,136
KOREA ELECTRONICS TELECOMM,133
APPLE INC,133
UNIV ZHEJIANG,132
AMAZON TECH INC,130
SONY CORP,122
MICROSOFT TECHNOLOGY LICENSING LLC,119
TECHNOLOGIES HOLDINGS CORP,110
YASKAWA DENKI SEISAKUSHO KK,110
AT & T IP II LP,110
UNIV SOUTHEAST,107
CANON KK,105
NEC CORP,104
UNIV BEIHANG,99
IROBOT CORP,99
ETHICON ENDO SURGERY INC,99
HUSQVARNA AB,97
UNIV JIANGSU,96
SIEMENS AG,93
UNIV TSINGHUA,91
DENSO CORP,90
UNIV ELECTRONIC SCIENCE & TECH,89
TENCENT TECH SHENZHEN CO LTD,86
UNIV BEIJING TECHNOLOGY,84
HONDA MOTOR CO LTD,82
UNIV SOUTH CHINA TECH,82
UNIV JIANGNAN,81
MITSUBISHI ELECTRIC CORP,80
CHINESE ACAD INST AUTOMATION,80
PANASONIC CORP,79
INTUITIVE SURGICAL INC,78
UNIV TIANJIN,78
TOSHIBA KK,75
UNIV NORTH CHINA ELEC POWER,74
UNIV HOHAI CHANGZHOU,74
FUJITSU LTD,71
UNIV SHANGHAI JIAOTONG,70
UNIV XIDIAN,68
APPLIED MATERIALS INC,68
GEN ELECTRIC,66
UNIV NEBRASKA,65
UNIV DALIAN TECH,65
ORACLE INT CORP,63
DEERE & CO,62
HARBIN INST OF TECHNOLOGY,61
HANSEN MEDICAL INC,60
SEIKO EPSON CORP,60
MASSACHUSETTS INST TECHNOLOGY,59
SHENZHEN INST OF ADV TECH CAS,56
BRAIN CORP,56
BEIJING INST TECHNOLOGY,56
UNIV NANJING POSTS & TELECOMM,55
UNIV HARBIN ENG,54
AISIN AW CO,54
BOSCH GMBH ROBERT,52
RESTORATION ROBOTICS INC,52
UNIV WUHAN,52
HON HAI PREC IND CO LTD,51
TOYOTA ENG & MFG NORTH AMERICA,51
XEROX CORP,51
UNIV NANJING AERONAUTICS,50
