IBM,2017
MICROSOFT CORP,1512
SIEMENS AG,1035
MATSUSHITA ELECTRIC IND CO LTD,836
SONY CORP,760
CANON KK,755
NEC CORP,725
KONINKL PHILIPS ELECTRONICS NV,723
HITACHI LTD,708
SAMSUNG ELECTRONICS CO LTD,617
INTUITIVE SURGICAL OPERATIONS,613
FUJITSU LTD,589
HONDA MOTOR CO LTD,573
GOOGLE INC,561
MITSUBISHI ELECTRIC CORP,537
MOTOROLA INC,522
TOSHIBA CORP,498
INTUITIVE SURGICAL INC,469
NIPPON TELEGRAPH & TELEPHONE,438
NUANCE COMMUNICATIONS INC,413
AT & T CORP,405
INTEL CORP,328
RICOH KK,325
QUALCOMM INC,321
SEIKO EPSON CORP,320
SHARP KK,318
KOREA ELECTRONICS TELECOMM,308
TOSHIBA KK,305
GEN ELECTRIC,298
DENSO CORP,291
BOEING CO,281
NISSAN MOTOR,275
GM GLOBAL TECH OPERATIONS INC,254
TOYOTA MOTOR CORP,244
BRITISH TELECOMM,236
UNIV ZHEJIANG,235
STATE GRID CORP CHINA,231
NOKIA CORP,214
IROBOT CORP,204
FANUC LTD,203
APPLIED MATERIALS INC,196
AT & T IP I LP,184
AISIN AW CO,179
STORAGE TECHNOLOGY CORP,178
HANSEN MEDICAL INC,174
UNIV TSINGHUA,169
UNIV SHANGHAI JIAOTONG,166
BOSCH GMBH ROBERT,161
ZONGCHENG LI,160
OMRON TATEISI ELECTRONICS CO,158
LG ELECTRONICS INC,156
LUCENT TECHNOLOGIES INC,154
YASKAWA DENKI SEISAKUSHO KK,154
XEROX CORP,154
AT & T IP II LP,154
UNIV BEIHANG,147
PANASONIC CORP,145
ERICSSON TELEFON AB L M,144
JOHNSON & JOHNSON VISION PROD,144
IND TECH RES INST,142
APPLE INC,139
UNIV SOUTHEAST,137
ST MICROELECTRONICS SRL,136
WESTINGHOUSE ELECTRIC CORP,135
MASSACHUSETTS INST TECHNOLOGY,134
SAP AG,134
SANYO ELECTRIC CO,134
AMAZON TECH INC,133
DEERE & CO,130
UNIV BEIJING TECHNOLOGY,127
UNIV JIANGSU,127
CHINESE ACAD INST AUTOMATION,125
SONY ELECTRONICS INC,125
FUJI XEROX CO LTD,121
TEXAS INSTRUMENTS INC,119
MICROSOFT TECHNOLOGY LICENSING LLC,119
CASIO COMPUTER CO LTD,118
HONEYWELL INT INC,116
UNIV TIANJIN,114
AMERICAN TELEPHONE & TELEGRAPH,114
TECHNOLOGIES HOLDINGS CORP,110
UNIV SOUTH CHINA TECH,110
OKI ELECTRIC IND CO LTD,109
ETHICON ENDO SURGERY INC,109
FORD MOTOR CO,108
HARMAN BECKER AUTOMOTIVE SYS,106
PHILIPS INTELLECTUAL PROPERTY,105
HALLIBURTON ENERGY SERV INC,104
HUSQVARNA AB,104
UNIV ELECTRONIC SCIENCE & TECH,103
TENCENT TECH SHENZHEN CO LTD,102
FUJI PHOTO FILM CO LTD,102
APPLE COMPUTER,101
UNIV JOHNS HOPKINS,100
HARBIN INST OF TECHNOLOGY,100
FUJI HEAVY IND LTD,99
BAKER HUGHES INC,99
MITSUBISHI HEAVY IND LTD,98
SGS THOMSON MICROELECTRONICS,98
COMMISSARIAT ENERGIE ATOMIQUE,97
TOYOTA MOTOR CO LTD,97
SON YOUNG SUK,97
UNIV CALIFORNIA,96
UNIV NEBRASKA,96
HONEYWELL INC,95
UNIV XIDIAN,95
HEWLETT PACKARD DEVELOPMENT CO,95
FUJITSU TEN LTD,94
STANFORD RES INST INT,94
HEWLETT PACKARD CO,93
SEKISUI CHEMICAL CO LTD,93
MAZDA MOTOR,93
MATSUSHITA ELECTRIC WORKS LTD,92
UNIV JIANGNAN,92
YASKAWA ELECTRIC CORP,91
TOYOTA ENG & MFG NORTH AMERICA,90
MAASLAND NV,89
NASA,89
YAMAHA CORP,88
COMPUTER MOTION INC,87
COMAU SPA,86
AC PROPERTIES BV,86
YAMAHA MOTOR CO LTD,86
LERNOUT & HAUSPIE SPEECHPROD,86
FRANCE TELECOM,85
HUAWEI TECH CO LTD,85
ALPINE ELECTRONICS INC,85
BEIJING INST TECHNOLOGY,82
DU PONT,81
UNIV DALIAN TECH,81
ORACLE INT CORP,80
RESTORATION ROBOTICS INC,80
UNIV HUAZHONG SCIENCE TECH,79
UNIV HARBIN ENG,79
LOCKHEED CORP,79
UNIV NORTH CHINA ELEC POWER,79
FRAUNHOFER GES FORSCHUNG,77
DRAGON SYSTEMS INC,77
UNIV HOHAI CHANGZHOU,77
UNIV ZHEJIANG TECHNOLOGY,76
HYUNDAI MOTOR CO LTD,76
HON HAI PREC IND CO LTD,76
UNIV NANJING POSTS & TELECOMM,76
UNIV COLUMBIA,75
INVENTEC CORP,75
US ARMY,74
SPEECHWORKS INT INC,74
NTT DOCOMO INC,74
AQUA PRODUCTS INC,72
DAIMLER CHRYSLER AG,71
DELAVAL HOLDING AB,70
ATI IND AUTOMATION INC,70
DISNEY ENTPR INC,70
OLYMPUS OPTICAL CO,69
UNIV NANJING AERONAUTICS,69
GEN MOTORS CORP,69
JAPAN BROADCASTING CORP,69
HARRIS CORP,68
CLARION CO LTD,68
ABB RESEARCH LTD,68
ST JUDE MEDICAL ATRIAL FIBRILL,68
EASTMAN KODAK CO,67
CALIFORNIA INST OF TECHN,67
KOBE STEEL LTD,67
OTIS ELEVATOR CO,66
KAWASAKI HEAVY IND LTD,66
ATR ADVANCED TELECOMM RES INST,66
KOREA ADVANCED INST SCI & TECH,66
ELIZA CORP,65
NIPPON KOGAKU KK,65
VOLKSWAGEN AG,65
RAYTHEON CO,65
SHENZHEN INST OF ADV TECH CAS,64
CUSTOM SPEECH USA INC,63
